dprog;ACADEMICYEAR;enrolments
Transport                 ;2016-17                       ;1869
Special Programmes        ;2016-17                       ;3468
No program group recorded ;2017-18                       ;14
Agriculture & Horticulture;2017-18                       ;1523
Business & Management     ;2017-18                       ;1887
Food Technology & Catering;2017-18                       ;2513
Computing                 ;2017-18                       ;2410
Construction              ;2017-18                       ;4693
Art & Design              ;2017-18                       ;3555
Engineering               ;2017-18                       ;4131
Health                    ;2017-18                       ;7595
Minerals & Materials      ;2017-18                       ;263
Personal Development      ;2017-18                       ;598
Science & Maths           ;2017-18                       ;2087
Office & Secretarial      ;2017-18                       ;737
Social Studies            ;2017-18                       ;5628
Social Work               ;2017-18                       ;4796
Sport & Recreation        ;2017-18                       ;3205
Transport                 ;2017-18                       ;1989
Special Programmes        ;2017-18                       ;3493
No program group recorded ;2018-19                       ;21
Agriculture & Horticulture;2018-19                       ;1376
Business & Management     ;2018-19                       ;1500
Food Technology & Catering;2018-19                       ;2252
Computing                 ;2018-19                       ;2507
Construction              ;2018-19                       ;4581
Art & Design              ;2018-19                       ;3388
Engineering               ;2018-19                       ;4082
Health                    ;2018-19                       ;7296
Minerals & Materials      ;2018-19                       ;227
Personal Development      ;2018-19                       ;774
Science & Maths           ;2018-19                       ;1697
Office & Secretarial      ;2018-19                       ;601
Social Studies            ;2018-19                       ;5860
Social Work               ;2018-19                       ;4681
Sport & Recreation        ;2018-19                       ;2671
Transport                 ;2018-19                       ;1806
Special Programmes        ;2018-19                       ;3551
