Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,overall
1955,430548,454569,386407,352766,338392,358455,371478,325431,364789,357298,333490,279342,235771,192801,151258,103782,52776,21985,5111338
1956,432832,459475,391392,349315,333277,354185,362833,335525,354327,358984,334357,288993,237362,193905,152119,103841,54573,22642,5119937
1957,439689,436420,417058,349882,327821,348974,353341,346356,340990,358739,335598,295725,240810,195768,152631,104916,56429,23541,5124688
1958,447992,425705,429526,357997,329471,343998,348264,357841,323407,356418,337745,303331,242816,197770,152922,104653,57150,24149,5141155
1959,456322,420589,437179,367864,331108,339581,343652,368874,307728,352914,341505,308655,247496,198953,153723,104346,57414,24719,5162622
1960,463762,418581,444719,371009,333359,333837,338547,355431,313631,351412,341121,312426,253569,203350,153194,105069,57956,26685,5177658
1961,470056,421296,448361,376370,333558,326724,331906,345357,322347,340548,342694,313216,260727,204985,154353,105605,58141,27592,5183836
1962,477656,427806,423790,397417,336581,324903,329912,337443,333671,328383,342210,314978,267023,207823,155375,105679,58570,28308,5197528
1963,481230,435481,411512,404461,340036,324972,326638,332735,344617,311683,340191,317032,274391,209204,157114,106475,58264,29064,5205100
1964,483365,442452,405298,406723,341101,323538,322149,327686,354261,296135,336509,320511,279555,213076,158398,108288,59168,30287,5208500
1965,485488,448842,403384,410425,337518,321495,317486,324120,341296,302101,334792,320625,282885,218221,161381,108146,60495,31200,5209900
1966,480584,453299,406600,411018,337284,315619,311877,319948,332928,310719,325002,321710,284937,224496,162609,108664,61465,31841,5200600
1967,475442,458412,413132,390367,356080,311806,307704,316587,324938,320419,313731,320657,287195,230001,165576,110239,62893,33121,5198300
1968,468243,461675,421144,383402,365070,311800,306422,312671,320632,330788,297360,318571,289545,236916,166875,111765,63716,33605,5200200
1969,460113,465393,428876,383012,371867,313683,305580,308321,316328,340485,282460,315500,292544,241798,170359,112446,65348,34387,5208500
1970,449246,469001,436328,385415,380867,313572,303707,303921,313724,327933,288833,313272,292886,245033,174696,114126,65601,35539,5213700
1971,443406,468587,443534,392819,387990,317526,299818,300563,311207,321847,298003,305712,294302,248826,181034,116342,66278,37806,5235600
1972,429016,466208,449539,399002,371007,339808,298391,297170,308114,314913,307203,296128,293525,250919,185451,118509,67221,38476,5230600
1973,413796,461734,455066,408251,366974,351443,299968,297083,304693,311551,317659,280924,292297,253385,191501,120219,68164,39192,5233900
1974,394797,454892,461284,416867,368707,361558,305171,298175,301047,308434,327594,267177,290487,256657,196013,123167,68559,40214,5240800
1975,375733,444300,466537,423991,367781,370052,307583,297973,297162,306663,316354,274180,289109,257848,199173,127275,69851,40835,5232400
1976,357452,437750,466142,432147,374058,377566,314515,296014,295013,303821,310761,282458,281734,258052,201959,131453,70892,41613,5233400
1977,337642,425076,464920,440902,382707,362986,338189,296068,293552,302204,304958,292027,272372,257732,204305,135097,72993,42470,5226200
1978,324175,408212,460161,447326,390538,356411,350009,298695,294472,299095,302023,301695,258399,256616,206813,139615,74324,43721,5212300
1979,319027,387800,453076,453777,398825,353838,357794,302998,295574,295920,299013,310838,245895,255162,209436,143405,76233,44989,5203600
1980,317521,368198,441027,460171,407701,353111,364940,304399,295706,292988,297501,300387,252898,253794,211198,146228,79453,46679,5193900
1981,317908,347713,432712,459314,415432,355317,368401,310168,292742,290564,294669,294980,260421,248152,211394,149112,82531,48670,5180200
1982,324298,327745,418592,457509,423327,361953,351880,331294,292046,288096,293274,289370,269563,239415,211335,150597,84861,49385,5164540
1983,328507,314315,400934,452228,430269,368318,343956,342089,294214,288735,290236,286698,278317,227266,210476,153022,87732,50808,5148120
1984,327542,310661,380642,444036,437748,377189,341179,349500,297360,289567,287077,284356,286864,216600,210088,155002,91197,52272,5138880
1985,325255,310556,362257,430783,442531,386661,341534,356952,298771,289626,284325,283295,277586,223693,208835,156808,93399,55023,5127890
1986,323327,313040,343154,422926,439966,394316,344418,360550,304435,286480,281625,280790,273161,230513,204348,156761,95155,56795,5111760
1987,322152,318745,323828,409898,437063,400695,350620,343819,325554,285999,279829,279973,268579,239671,197998,157688,97191,59718,5099020
1988,322460,322042,310507,391983,429443,403111,355718,335795,335952,287987,280864,277902,267105,247974,188539,158141,99336,62581,5077440
1989,325061,321653,308112,372397,420993,407746,364098,333738,344102,291895,282563,275948,266538,256775,180599,158845,101280,65847,5078190
1990,324816,321510,309582,355867,412587,412955,375060,335126,352061,293613,283133,273823,266221,249372,187817,158042,102326,67359,5081270
1991,324103,320400,313221,337447,408704,411566,383914,339370,356750,300036,280484,272080,264807,246381,194713,155820,103266,70268,5083330
1992,325062,320263,318638,320300,397793,411253,391076,347452,341640,321978,280707,271170,264495,242714,202730,151390,104467,72492,5085620
1993,322978,323466,322487,308521,385772,410072,398185,355621,335775,334332,283826,273229,262801,241411,209889,144127,105266,74702,5092460
