Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,overall,Gender
1953,224083,224292,193902,169020,165263,179872,181796,160726,179653,170888,153403,117765,99586,82302,64170,43032,19074,7040,2435867,Male
1954,221253,228420,195749,166944,161785,177759,188236,152389,177125,173262,157030,120668,99993,81969,63497,43211,19962,7104,2436356,Male
1955,220286,232570,196182,169175,158587,176081,182431,156405,175998,173387,159298,124871,101603,80933,62791,42739,20769,7083,2441189,Male
1956,221244,235322,199057,167698,156702,173734,178739,161504,170404,174152,160318,130712,101921,80927,62432,42272,21401,7432,2445971,Male
1957,224994,223610,212394,169023,153621,171003,173941,167198,163337,173961,161081,135491,103007,81514,61974,42271,21928,7832,2448180,Male
1958,229196,218131,219215,175332,155307,168938,171586,173441,154432,172471,162096,140747,103544,81936,61423,41611,22047,8042,2459495,Male
1959,233344,215322,223423,182832,156070,167153,169125,179941,146861,170079,164107,144288,105947,81884,61059,40961,21891,8210,2472497,Male
1960,237407,214106,227629,185349,158399,164471,166244,173942,150017,168471,163951,146777,109744,83261,60446,40577,21977,8921,2481689,Male
1961,240323,215322,229677,188644,159956,160927,162547,169485,154296,162774,164571,147670,113964,83593,60402,40179,21764,9199,2485293,Male
1962,244752,218718,217231,199866,163576,159964,161861,165503,160406,156614,164261,148589,118212,84442,60416,39518,21520,9418,2494867,Male
1963,246795,222819,210822,204004,166573,159812,160536,163283,166402,148261,162997,149380,123088,84577,60688,39229,20997,9473,2499736,Male
1964,247835,226520,207508,205688,168004,158573,158550,160478,172104,140654,160536,151204,126319,86480,60761,39245,20949,9692,2501100,Male
1965,249073,229943,206410,207770,166505,157675,156471,158372,166333,143764,159145,151146,128272,89306,61531,38751,20923,9807,2501197,Male
1966,246877,232126,208102,208019,167192,154915,153527,156097,162733,148025,154282,151601,129600,92732,61569,38516,20668,9784,2496365,Male
1967,244222,235072,211595,197656,177600,153709,151275,154629,158734,153142,148519,151054,130810,96231,62431,38844,20735,10142,2496400,Male
1968,240366,236796,215853,194209,182663,154028,150729,152821,156687,158707,140336,149845,131998,100297,62534,39159,20636,10127,2497791,Male
1969,236548,238570,219791,194131,186637,155607,150307,150915,154429,164426,133053,147897,133552,103247,63848,39067,20717,10233,2502975,Male
1970,231040,240444,223652,195571,191471,156289,149616,149097,152865,158998,136327,146551,133566,105221,65752,39371,20574,10270,2506675,Male
1971,227886,240244,227192,199369,194737,158697,147756,147182,151383,156492,140782,142815,134245,107276,68716,39652,20691,10591,2515706,Male
1972,220100,239093,230081,202625,186591,170194,147506,145369,150035,153092,145547,137939,133970,108505,71404,39892,20684,10676,2513303,Male
1973,212438,236815,232731,207320,185074,176258,148378,145553,148446,151546,151092,130433,133417,109868,74747,40061,20685,10550,2515412,Male
1974,202531,233661,235746,211480,186285,181598,151304,146096,146876,149875,156757,123785,132290,111590,77219,41027,20514,10619,2519253,Male
1975,192568,228313,238545,215215,186011,186127,153049,146140,145358,148745,152151,127321,131572,112271,79078,42593,20653,10551,2516261,Male
1976,183242,224793,238637,219021,189425,190104,156980,145367,144268,147286,150030,131418,128047,112542,80637,44417,20593,10458,2517265,Male
1977,173472,217794,238351,223611,193931,182949,169291,145873,143494,146615,147256,136399,123554,112548,81974,46280,20934,10521,2514847,Male
1978,166269,209312,236087,227063,197780,179896,175556,147300,144230,145164,145992,141540,116814,112269,83299,48461,21121,10527,2508680,Male
1979,163810,198673,232798,230521,201879,178550,179619,149895,144758,143930,144392,146636,110980,111495,84701,50134,21615,10627,2505013,Male
1980,163037,188537,226458,234022,206761,177971,183409,151192,144874,142855,143309,142544,114420,110836,85633,51514,22562,10929,2500863,Male
1981,163218,178153,222084,234145,210521,179145,185241,154619,143617,141709,141938,140567,118117,108223,85961,52855,23665,11082,2494860,Male
1982,166246,168249,213923,233475,214900,182487,176686,165461,143672,140320,141239,137822,122850,104285,86152,53860,24622,11086,2487335,Male
1983,168457,161069,204807,230461,218769,185507,172615,170966,144766,140976,139715,136622,127326,98655,86137,55132,25821,11274,2479075,Male
1984,167688,159291,194300,226282,222503,189872,171055,174758,146708,141366,138607,135427,132062,93917,86033,56156,27090,11508,2474623,Male
1985,166408,159352,184842,219178,224715,194879,170910,178533,147998,141494,137654,134685,128617,97413,85498,57089,28161,12088,2469514,Male
1986,165307,160653,175351,214999,223435,198398,172484,180148,151330,140067,136370,133467,127154,100736,83694,57359,28896,12463,2462311,Male
1987,164689,163231,165917,207584,221891,201910,175299,171507,162046,140127,135564,133086,125130,105377,81144,58006,29762,13133,2455403,Male
1988,165010,165043,158837,198768,217419,202972,177191,167276,167428,141146,136313,132289,124768,109520,77093,58713,30657,13876,2444319,Male
1989,166384,164484,157875,188642,212880,204369,180725,165886,171295,143474,137086,131692,124541,114259,73922,59286,31629,14736,2443165,Male
1990,166374,164265,158662,180410,207706,205761,186009,166126,175236,144745,137512,131104,124296,111746,77335,59075,32288,15215,2443865,Male
1991,165807,163586,160669,171477,205549,204096,189591,168125,177358,148420,136308,130513,123741,111218,80702,58397,32975,15983,2444515,Male
